UNITID,INSTNM,CITY,STABBR,HIGHDEG,PREDDEG,CONTROL,HBCU,TUITFTE,AVGFACSAL,ADM_RATE,SATVR75,SATMT75,ACTCM75,COSTT4_A,NPT4_PRIV,UGDS,UG25ABV,PCTFLOAN_DCS,PCTPELL_DCS,DEBT_MDN,C100_4,RET_FT4,MD_EARN_WNE_5YR
176318,Rust College,Holly Springs,MS,3,3,2,1,8397,4926,0.7876,669,670,18,16700,9638,731,0.1094,0.4778,0.5882,13777,0.0196,0.6552,38792
176406,Tougaloo College,Tougaloo,MS,3,3,2,1,7593,4143,0.4931,NA,NA,NA,23266,15820,541,0.0801,0.6236,0.7027,23098,0.194,0.8163,37855
179946,Westminster College,Fulton,MO,3,3,2,0,11570,6713,0.7528,520,570,24,48486,26380,607,0.0214,0.6998,0.4349,19463,0.56,0.6449,49909
182917,Magdalen College,Warner,NH,3,3,2,0,12194,4361,0.9796,NA,NA,NA,36456,12066,59,0.0448,0.5821,0.5075,11331,0.7917,0.8667,NA
183071,University of New Hampshire at Manchester,Manchester,NH,3,3,1,0,12215,9816,0.8528,580,590,NA,27263,NA,507,0.2542,0.5132,0.3872,22498,0.6034,0.6538,66239
183239,Saint Anselm College,Manchester,NH,3,3,2,0,17469,9188,0.823,650,640,30,63187,35038,1955,0.0041,0.6829,0.1132,26987,0.8201,0.8938,75975
183275,Thomas More College of Liberal Arts,Merrimack,NH,3,3,2,0,6421,5259,NA,NA,NA,NA,36079,15273,89,0.0225,0.8539,0.382,22475,0.7,0.7619,35029
183822,Bloomfield College,Bloomfield,NJ,4,3,2,0,16983,10169,0.7818,460,500,16,44316,20446,1149,0.1209,0.9311,0.6979,18500,0.21,0.8132,50069
184348,Drew University,Madison,NJ,4,3,2,0,17177,9219,0.7266,690,650,28,60012,24892,1419,0.0312,0.412,0.3013,21000,0.6971,0.8774,57555
189088,Bard College,Annandale-On-Hudson,NY,4,3,2,0,14503,11914,0.4608,NA,NA,NA,78900,27474,2174,0.1815,0.43120000000000003,0.2525,19000,0.6154,0.8901,37767
189097,Barnard College,New York,NY,3,3,2,0,42671,14635,0.0879,770,780,34,79717,27999,3126,0.0016,0.3498,0.1618,15750,0.8716,0.9618,79860
190099,Colgate University,Hamilton,NY,4,3,2,0,50087,12553,0.1243,750,780,34,80160,24052,3124,9e-4,0.1123,0.1285,13000,0.8773,0.9447,78336
190646,CUNY Medgar Evers College,Brooklyn,NY,3,3,1,0,1490,11863,0.8765,NA,NA,NA,14890,NA,3239,0.4032,0.1185,0.6237,7400,0.0952,0.4039,58134
191515,Hamilton College,Clinton,NY,3,3,2,0,37795,12129,0.1178,760,780,34,77000,24837,2071,5e-4,0.3992,0.182,15015,0.8856,0.9512,77354
191533,Hartwick College,Oneonta,NY,4,3,2,0,19773,7710,0.5972,620,590,27,64262,23430,1085,0.0095,0.5289,0.3512,17500,0.4403,0.6908,58204
191630,Hobart William Smith Colleges,Geneva,NY,4,3,2,0,24008,9539,0.6838,700,700,32,78579,29256,1539,0.0018,0.6071,0.2355,24250,0.6764,0.8661,66994
191676,Houghton University,Houghton,NY,4,3,2,0,13138,6385,0.77,670,650,NA,27969,19831,745,0.073,0.5976,0.3976,20313,0.5282,0.8056,43607
192864,Marymount Manhattan College,New York,NY,3,3,2,0,21393,8392,0.7209,660,620,28,61863,39478,1568,0.1237,0.7344,0.3053,19250,0.4897,0.627,49734
195216,St Lawrence University,Canton,NY,4,3,2,0,21773,9999,0.635,700,710,32,77363,28344,2130,0.0036,0.5649,0.2223,22670,0.8043,0.8472,61947
195304,Sarah Lawrence College,Bronxville,NY,4,3,2,0,28290,10025,0.4988,740,710,33,76703,33701,1417,0.0078,0.4356,0.1174,19500,0.6552,0.7877,42787
195526,Skidmore College,Saratoga Springs,NY,3,3,2,0,35592,10034,0.2554,740,720,33,79250,34165,2744,0.0037,0.3401,0.1513,15000,0.8067,0.8759,59651
196219,SUNY at Purchase College,Purchase,NY,4,3,1,0,6180,7681,0.7468,700,650,31,28021,NA,3050,0.073,0.4228,0.3599,15194,0.5764,0.7876,41643
196866,Union College,Schenectady,NY,3,3,2,0,30781,11930,0.4651,730,760,33,78611,35375,2077,0.0081,0.4551,0.1327,21085,0.7964,0.8903,80426
197036,United States Military Academy,West  Point,NY,3,3,1,0,0,11175,0.1195,710,740,33,NA,NA,4328,0.0082,NA,NA,NA,0.8469,0.9441,NA
197133,Vassar College,Poughkeepsie,NY,3,3,2,0,42879,12502,0.1866,760,775,34,80784,35701,2430,0.0103,0.4116,0.2096,17500,0.8741,0.9379,58396
197230,Wells College,Aurora,NY,3,3,2,0,11437,8212,0.8768,NA,NA,NA,48783,21910,349,0.0234,0.824,0.4839,12000,0.4848,0.4643,49494
197993,Bennett College,Greensboro,NC,3,3,2,1,1308,5780,0.4463,NA,NA,NA,35872,20876,168,0.0773,0.7681,0.7488,17351,0.1053,0.9231,43341
198385,Davidson College,Davidson,NC,3,3,2,0,24321,11975,0.1695,740,760,33,73200,20035,1922,0.002,0.099,0.1543,16511,0.8755,0.9378,64801
198613,Guilford College,Greensboro,NC,4,3,2,0,11989,6898,0.8351,600,580,25,54954,23571,1022,0.0906,0.7707,0.4634,15448,0.4038,0.6559,48340
198756,Johnson C Smith University,Charlotte,NC,4,3,2,1,11622,6762,0.2528,NA,NA,NA,33121,20528,1041,0.1693,0.8167,0.7175,20500,0.3123,0.5724,43653
198950,Meredith College,Raleigh,NC,4,3,2,0,17554,7479,0.7318,680,640,28,52815,20269,1294,0.0392,0.5802,0.3497,20066,0.6303,0.769,49359
199111,University of North Carolina at Asheville,Asheville,NC,3,3,1,0,6423,8529,0.7431,685,655,28,21030,NA,2803,0.1673,0.4381,0.3544,14138,0.4434,0.686,42931
199607,Salem College,Winston-Salem,NC,4,3,2,0,10843,5779,0.8749,NA,NA,NA,44380,16717,331,0.2166,0.5128,0.5442,19500,0.598,0.7333,43440
199865,Warren Wilson College,Swannanoa,NC,4,3,2,0,13000,5563,0.8398,NA,NA,31,54106,26589,697,0.0484,0.5975,0.3552,9500,0.373,0.6933,38759
202523,Denison University,Granville,OH,3,3,2,0,24662,10126,0.2196,710,750,32,73725,34134,2406,0.0047,0.5368,0.1388,21250,0.8205,0.9037,61795
203535,Kenyon College,Gambier,OH,3,3,2,0,32710,9273,0.343,760,755,34,80270,39277,1877,0.0016,0.2698,0.0996,15000,0.8398,0.8839,54810
204501,Oberlin College,Oberlin,OH,3,3,2,0,28996,10435,0.3487,760,770,33,81502,37377,2986,0.002,0.329,0.0921,19500,0.7165,0.8656,48586
204909,Ohio Wesleyan University,Delaware,OH,3,3,2,0,12000,8068,0.5218,678,680,30,64069,25814,1401,0.0075,0.6196,0.2586,21500,0.5926,0.8187,52040
205027,Pontifical College Josephinum,Columbus,OH,4,3,2,0,9116,5593,0.875,NA,NA,NA,NA,NA,34,0.3125,0.2188,0.125,PS,0.3077,1,55642
206525,Wittenberg University,Springfield,OH,4,3,2,0,12968,7836,0.9393,680,690,28,55565,22729,1235,0.0249,0.8615,0.2938,23252,0.5045,0.7514,53766
206589,The College of Wooster,Wooster,OH,3,3,2,0,18651,8598,0.5627,720,730,32,70687,24995,1960,0.0051,0.452,0.1949,21115,0.7017,0.8345,50255
207157,Randall University,Moore,OK,4,3,2,0,10816,4407,0.4286,510,523,24,29213,19896,242,0.2702,0.4412,0.4779,13250,0.0769,0.5143,45919
207722,University of Science and Arts of Oklahoma,Chickasha,OK,3,3,1,0,5126,5744,0.563,578,560,24,19687,NA,808,0.1331,0.4101,0.4508,10736,0.2808,0.6008,43315
209056,Lewis & Clark College,Portland,OR,4,3,2,0,24270,10490,0.6859,720,680,32,73969,33819,2187,0.0052,0.6665,0.2071,13644,0.6733,0.8612,52194
209065,Linfield University,McMinnville,OR,4,3,2,0,22305,7357,0.8869,NA,NA,NA,61344,29934,1667,0.021,0.8417,0.2855,20500,0.5995,0.8089,83072
209922,Reed College,Portland,OR,4,3,2,0,36545,12070,0.308,750,750,33,80970,32966,1494,0.0097,0.4004,0.117,15750,0.6714,0.8583,56263
210401,Willamette University,Salem,OR,4,3,2,0,24156,10977,0.806,NA,NA,NA,60106,28978,1335,0.0129,0.4224,0.2462,18913,0.678,0.8263,53960
210492,Bryn Athyn College of the New Church,Bryn Athyn,PA,4,3,2,0,16704,7160,0.7997,640,613,NA,38557,19637,271,0.0332,0.5643,0.4191,13500,0.4035,0.7761,38029
210571,Albright College,Reading,PA,4,3,2,0,10422,6713,0.8487,NA,NA,NA,42833,21038,1276,0.0873,0.8283,0.5187,23250,0.4077,0.6401,59794
210669,Allegheny College,Meadville,PA,3,3,2,0,16067,8479,0.6965,692,680,30,69353,24838,1324,0.0108,0.593,0.2822,25017,0.5956,0.7892,58614
